"cluster_id","youtube_video_id","exercise_id","exercise_name","media_review_status","decision","reviewer_name","reviewed_at","evidence"
"yt-015","EgtUbeC0qbw","124415c1-13d6-4df1-a464-96a66467db66","Elevação Frontal Neutra Alternada Em Pé","needs_review","","","",""
"yt-015","EgtUbeC0qbw","cfb03da0-4462-422e-ad32-3f4abdbc29e8","Elevação Frontal Neutra para Pronada Alternada em pé","needs_review","","","",""
"yt-016","F_EkPpuJV4k","2d0b1d00-37fc-4deb-9687-3250edeeb87c","Rosca Banco 45 Neutra","needs_review","","","",""
"yt-016","F_EkPpuJV4k","867a6df5-d665-43ac-b297-d46c2b667741","Rosca Banco 45","needs_review","","","",""
"yt-017","f1226_qU9aU","a0c39fee-d2eb-468e-8bd1-2efb7f8ab33f","Stiff com Halteres","needs_review","","","",""
"yt-017","f1226_qU9aU","dc207ca2-b186-4220-b154-63c08c53ea66","Stiff Halteres","needs_review","","","",""
"yt-018","gaBnbo6O3bg","22b81e41-787c-467f-9cdf-73a3c26da25e","Flexão Aberta Smith","needs_review","","","",""
"yt-018","gaBnbo6O3bg","277c2674-93e2-4aac-aa67-1c8ee82d0c55","Flexão Aberta","needs_review","","","",""
"yt-019","GK7aZGipTj0","3da3626b-01f8-4fcd-bc73-281255db1d62","RDL B-Stance Barra","needs_review","","","",""
"yt-019","GK7aZGipTj0","af71347e-48d2-40df-83b4-d77c4dd21ea7","Stiff B-Stance Barra","needs_review","","","",""
"yt-020","goprHr4m6uk","0bc88428-34f7-48c8-ac8e-ed3d235b109a","Manguito Externo","needs_review","","","",""
"yt-020","goprHr4m6uk","fb2ba2b0-82b0-4c48-a8c6-f736ccadcec1","Manguito Externo em Diagonal","needs_review","","","",""
"yt-021","gpXV2dzZ-oA","4370ac29-8751-4de9-8765-d2c467c57353","Depth jump com rebote imediato","needs_review","","","",""
"yt-021","gpXV2dzZ-oA","fdbbc862-e887-404f-ab17-ffd7301cf713","Drop Jump Bilateral ( plio )","needs_review","","","",""
"yt-022","H_KrN4-AFFg","63374ce3-a255-4e87-9c76-2e23cd15a4ec","Biset Cross Over + Supino Inclinado Neutro Banco 45","needs_review","","","",""
"yt-022","H_KrN4-AFFg","826d88a4-7f2f-45bd-927f-5e5cc5910626","Biset Cross Over + Supino Inclinado Banco 45","needs_review","","","",""
"yt-022","H_KrN4-AFFg","e28e4c41-5215-4cd6-b642-4322656f228d","Supino Inclinado Cross Over Banco 45","needs_review","","","",""
"yt-023","h7HR4Bpc2_k","2b64e2db-f402-4b68-ba0b-94182de8dea0","Mobilidade de tornozelo na parede (knee-to-wall)","needs_review","","","",""
"yt-023","h7HR4Bpc2_k","3f384f30-1259-4e27-a7bf-70889243ac41","Mobilidade de Tornozelo","needs_review","","","",""
