codigo,arquivo_final,nome_exercicio,grupo_muscular,estacao,prioridade,video_referencia,como_executar
401,401-elevacao-de-quadril-solo.mp4,Elevação de Quadril Solo,glúteo,Livre/Funcional,ALTA,https://youtu.be/8pkiaZBqCc8,
402,402-elevacao-frontal-pronada-em-pe.mp4,Elevação Frontal Pronada Em Pé,ombro,Livre/Funcional,ALTA,https://youtu.be/bgoCYByyGmo,
403,403-elevacao-pelvica-unilateral-banco.mp4,Elevação Pélvica Unilateral Banco,glúteo,Livre/Funcional,ALTA,https://youtu.be/UIf0QN-tz4I,
404,404-extensora-completa-parcial-embaixo.mp4,Extensora Completa + Parcial Embaixo,quadríceps,Livre/Funcional,ALTA,https://youtu.be/sk1HDdQr1i4,
405,405-extensao-da-coluna-com-rolinho.mp4,Extensão da coluna com rolinho,Mobilidade,Livre/Funcional,ALTA,https://youtu.be/niat-eLjOeE,Importado do MFIT (page-1). Categoria MFIT: Fisio.
406,406-extensao-y-t.mp4,Extensão Y-T,Dorsal,Livre/Funcional,ALTA,https://youtu.be/04UWIsgkSDY,Importado do MFIT (page-1). Categoria MFIT: Funcional.
407,407-face-pull-corda.mp4,Face Pull Corda,ombro,Livre/Funcional,ALTA,https://youtu.be/I41wK3wTZlo,
408,408-flexao-fechada.mp4,Flexão Fechada,tríceps,Livre/Funcional,ALTA,https://youtu.be/HM9DUyI4d-g,
409,409-levantamento-terra.mp4,Levantamento Terra,posterior de coxa,Livre/Funcional,ALTA,https://youtu.be/Nf9O-pEl1ok,
410,410-liberacao-do-tibial-com-rolinho.mp4,liberação do tibial com rolinho,Panturrilha,Livre/Funcional,ALTA,https://youtu.be/VBkEmW1iEdk,Importado do MFIT (page-1). Categoria MFIT: Fisio.
411,411-mesa-flexora-unilateral.mp4,Mesa Flexora Unilateral,posterior de coxa,Livre/Funcional,ALTA,https://youtu.be/zW5Vmth-8HU,
412,412-pulldown-corda.mp4,Pulldown Corda,costas,Livre/Funcional,ALTA,https://youtu.be/h7q1mwzlDCY,
413,413-puxada-frontal.mp4,Puxada Frontal,costas,Livre/Funcional,ALTA,https://youtu.be/ftcql3-AMRs,Puxada na polia alta
414,414-remada-cavalinho-unilateral-neutra.mp4,Remada Cavalinho Unilateral Neutra,costas,Livre/Funcional,ALTA,https://youtu.be/hfhEieRoWfo,
415,415-remada-cavalinho-unilateral-pronada.mp4,Remada Cavalinho Unilateral Pronada,costas,Livre/Funcional,ALTA,https://youtu.be/hfhEieRoWfo,
416,416-remada-com-peito-no-banco-pronada.mp4,Remada com Peito no Banco Pronada,costas,Livre/Funcional,ALTA,https://youtu.be/hfhEieRoWfo,
417,417-retracao-escapular-na-parede.mp4,Retração escapular na parede,Dorsal,Livre/Funcional,ALTA,https://youtu.be/99C0UarlE2o,Importado do MFIT (page-2). Categoria MFIT: Mobilidade.
418,418-serrote-livre.mp4,Serrote Livre,costas,Livre/Funcional,ALTA,https://youtu.be/qBkVHKhmUU8,
419,419-supersquat.mp4,Supersquat,quadríceps,Livre/Funcional,ALTA,https://youtu.be/tLA2a5e8LeE,
420,420-supino-reto-solo.mp4,Supino Reto Solo,peitoral,Livre/Funcional,ALTA,https://youtu.be/xbpWfHYBRW0,
421,421-swan-dive-chao.mp4,Swan dive chão,MAT Pilates,Livre/Funcional,ALTA,https://youtu.be/mgzzDLWwUEk,Importado do MFIT (page-2).
422,422-triset-panturrilha-com-rotacao.mp4,Triset Panturrilha com Rotação,panturrilha,Livre/Funcional,ALTA,https://youtu.be/9fIw0ue8iQE,
423,423-abducao-de-quadril-com-caneleira.mp4,Abdução de Quadril com Caneleira,glúteo,Livre/Funcional,normal,https://youtu.be/H-IAR_GHxl0,
